Journée gazière;Nom Région;Production journalière biométhane (MWh - 0°C);Opérateur de transport
08/09/2018;Auvergne-Rhône-Alpes;137.423;Zone GRTgaz
26/01/2018;Auvergne-Rhône-Alpes;134.745;Zone GRTgaz
24/05/2021;Auvergne-Rhône-Alpes;401.01;Zone GRTgaz
03/01/2018;Auvergne-Rhône-Alpes;82.812;Zone GRTgaz
30/11/2018;Auvergne-Rhône-Alpes;146.261;Zone GRTgaz
27/10/2017;Auvergne-Rhône-Alpes;127.30699999999997;Zone GRTgaz
21/04/2017;Auvergne-Rhône-Alpes;136.887;Zone GRTgaz
04/11/2019;Auvergne-Rhône-Alpes;215.121;Zone GRTgaz
04/02/2018;Auvergne-Rhône-Alpes;124.474;Zone GRTgaz
17/04/2019;Auvergne-Rhône-Alpes;172.614;Zone GRTgaz
31/01/2017;Auvergne-Rhône-Alpes;102.779;Zone GRTgaz
14/04/2017;Auvergne-Rhône-Alpes;131.187;Zone GRTgaz
12/11/2017;Auvergne-Rhône-Alpes;108.46099999999998;Zone GRTgaz
02/07/2017;Auvergne-Rhône-Alpes;88.798;Zone GRTgaz
15/11/2018;Auvergne-Rhône-Alpes;131.806;Zone GRTgaz
14/05/2017;Auvergne-Rhône-Alpes;108.055;Zone GRTgaz
13/07/2021;Auvergne-Rhône-Alpes;487.919;Zone GRTgaz
21/11/2019;Auvergne-Rhône-Alpes;240.633;Zone GRTgaz
25/10/2016;Auvergne-Rhône-Alpes;33.307;Zone GRTgaz
16/12/2017;Auvergne-Rhône-Alpes;64.898;Zone GRTgaz
26/08/2021;Auvergne-Rhône-Alpes;573.566;Zone GRTgaz
17/10/2019;Auvergne-Rhône-Alpes;197.104;Zone GRTgaz
17/06/2019;Auvergne-Rhône-Alpes;154.027;Zone GRTgaz
07/11/2019;Auvergne-Rhône-Alpes;203.874;Zone GRTgaz
07/03/2018;Auvergne-Rhône-Alpes;84.388;Zone GRTgaz
24/02/2018;Auvergne-Rhône-Alpes;131.88599999999997;Zone GRTgaz
09/03/2017;Auvergne-Rhône-Alpes;90.216;Zone GRTgaz
14/02/2018;Auvergne-Rhône-Alpes;81.829;Zone GRTgaz
26/04/2017;Auvergne-Rhône-Alpes;121.352;Zone GRTgaz
02/11/2016;Auvergne-Rhône-Alpes;12.422999999999998;Zone GRTgaz
04/06/2018;Auvergne-Rhône-Alpes;118.223;Zone GRTgaz
03/04/2017;Auvergne-Rhône-Alpes;126.774;Zone GRTgaz
11/10/2016;Auvergne-Rhône-Alpes;20.664999999999996;Zone GRTgaz
23/04/2024;Auvergne-Rhône-Alpes;1773.2595186000003;Zone GRTgaz
16/04/2021;Auvergne-Rhône-Alpes;427.979;Zone GRTgaz
12/08/2021;Auvergne-Rhône-Alpes;498.802;Zone GRTgaz
16/01/2021;Auvergne-Rhône-Alpes;304.02;Zone GRTgaz
17/06/2024;Auvergne-Rhône-Alpes;1826.6229035999997;Zone GRTgaz
24/03/2023;Auvergne-Rhône-Alpes;1425.635;Zone GRTgaz
13/09/2018;Auvergne-Rhône-Alpes;123.10999999999999;Zone GRTgaz
02/03/2018;Auvergne-Rhône-Alpes;120.236;Zone GRTgaz
04/01/2020;Auvergne-Rhône-Alpes;248.954;Zone GRTgaz
24/11/2019;Auvergne-Rhône-Alpes;192.491;Zone GRTgaz
04/09/2019;Auvergne-Rhône-Alpes;169.795;Zone GRTgaz
25/06/2022;Auvergne-Rhône-Alpes;978.358;Zone GRTgaz
20/09/2020;Auvergne-Rhône-Alpes;219.47;Zone GRTgaz
27/05/2021;Auvergne-Rhône-Alpes;449.223;Zone GRTgaz
17/01/2020;Auvergne-Rhône-Alpes;248.003;Zone GRTgaz
30/05/2019;Auvergne-Rhône-Alpes;201.454;Zone GRTgaz
26/08/2019;Auvergne-Rhône-Alpes;150.638;Zone GRTgaz
11/12/2020;Auvergne-Rhône-Alpes;373.378;Zone GRTgaz
21/08/2021;Auvergne-Rhône-Alpes;513.719;Zone GRTgaz
18/09/2024;Auvergne-Rhône-Alpes;1876.8200777999998;Zone GRTgaz
13/08/2019;Auvergne-Rhône-Alpes;186.822;Zone GRTgaz
15/09/2021;Auvergne-Rhône-Alpes;625.257;Zone GRTgaz
25/07/2019;Auvergne-Rhône-Alpes;158.876;Zone GRTgaz
26/09/2021;Auvergne-Rhône-Alpes;516.708;Zone GRTgaz
13/11/2023;Auvergne-Rhône-Alpes;1536.741;Zone GRTgaz
29/06/2018;Auvergne-Rhône-Alpes;140.262;Zone GRTgaz
24/01/2024;Auvergne-Rhône-Alpes;1682.1723059999997;Zone GRTgaz
07/11/2020;Auvergne-Rhône-Alpes;303.079;Zone GRTgaz
17/04/2022;Auvergne-Rhône-Alpes;1016.363;Zone GRTgaz
30/03/2021;Auvergne-Rhône-Alpes;446.039;Zone GRTgaz
01/12/2018;Auvergne-Rhône-Alpes;147.987;Zone GRTgaz
28/04/2020;Auvergne-Rhône-Alpes;291.983;Zone GRTgaz
09/08/2020;Auvergne-Rhône-Alpes;253.833;Zone GRTgaz
08/05/2022;Auvergne-Rhône-Alpes;1083.263;Zone GRTgaz
26/11/2024;Auvergne-Rhône-Alpes;1858.795335;Zone GRTgaz
01/11/2022;Auvergne-Rhône-Alpes;1138.987;Zone GRTgaz
21/06/2020;Auvergne-Rhône-Alpes;292.064;Zone GRTgaz
18/11/2024;Auvergne-Rhône-Alpes;1882.9569924000002;Zone GRTgaz
14/08/2023;Auvergne-Rhône-Alpes;1210.353;Zone GRTgaz
19/09/2024;Auvergne-Rhône-Alpes;1862.0758422000001;Zone GRTgaz
18/01/2020;Auvergne-Rhône-Alpes;281.071;Zone GRTgaz
25/11/2019;Auvergne-Rhône-Alpes;179.904;Zone GRTgaz
14/05/2020;Auvergne-Rhône-Alpes;292.191;Zone GRTgaz
20/10/2020;Auvergne-Rhône-Alpes;320.791;Zone GRTgaz
14/05/2024;Auvergne-Rhône-Alpes;1676.0604564000002;Zone GRTgaz
30/03/2018;Auvergne-Rhône-Alpes;117.11299999999999;Zone GRTgaz
26/09/2016;Auvergne-Rhône-Alpes;40.201;Zone GRTgaz
07/12/2019;Auvergne-Rhône-Alpes;220.08199999999997;Zone GRTgaz
17/05/2020;Auvergne-Rhône-Alpes;301.933;Zone GRTgaz
31/01/2020;Auvergne-Rhône-Alpes;265.27;Zone GRTgaz
03/08/2020;Auvergne-Rhône-Alpes;283.87799999999993;Zone GRTgaz
03/07/2017;Auvergne-Rhône-Alpes;78.071;Zone GRTgaz
05/06/2017;Auvergne-Rhône-Alpes;101.87499999999999;Zone GRTgaz
05/09/2018;Auvergne-Rhône-Alpes;123.15;Zone GRTgaz
18/05/2020;Auvergne-Rhône-Alpes;253.486;Zone GRTgaz
11/08/2020;Auvergne-Rhône-Alpes;282.065;Zone GRTgaz
13/02/2019;Auvergne-Rhône-Alpes;163.73499999999996;Zone GRTgaz
10/03/2023;Auvergne-Rhône-Alpes;1389.191;Zone GRTgaz
30/06/2023;Auvergne-Rhône-Alpes;1280.561;Zone GRTgaz
26/10/2017;Auvergne-Rhône-Alpes;127.83099999999999;Zone GRTgaz
25/03/2023;Auvergne-Rhône-Alpes;1259.524;Zone GRTgaz
28/05/2022;Auvergne-Rhône-Alpes;900.6109999999999;Zone GRTgaz
30/10/2022;Auvergne-Rhône-Alpes;1095.277;Zone GRTgaz
21/02/2020;Auvergne-Rhône-Alpes;307.039;Zone GRTgaz
21/02/2023;Auvergne-Rhône-Alpes;1335.039;Zone GRTgaz
19/04/2024;Auvergne-Rhône-Alpes;1854.6545969999995;Zone GRTgaz
30/09/2022;Auvergne-Rhône-Alpes;1168.498;Zone GRTgaz
16/11/2019;Auvergne-Rhône-Alpes;188.922;Zone GRTgaz
22/03/2021;Auvergne-Rhône-Alpes;422.985;Zone GRTgaz
05/09/2019;Auvergne-Rhône-Alpes;170.196;Zone GRTgaz
04/09/2021;Auvergne-Rhône-Alpes;540.071;Zone GRTgaz
12/06/2019;Auvergne-Rhône-Alpes;182.09599999999998;Zone GRTgaz
04/09/2020;Auvergne-Rhône-Alpes;331.238;Zone GRTgaz
07/07/2019;Auvergne-Rhône-Alpes;166.72799999999998;Zone GRTgaz
21/02/2017;Auvergne-Rhône-Alpes;94.91999999999999;Zone GRTgaz
16/02/2021;Auvergne-Rhône-Alpes;355.913;Zone GRTgaz
27/04/2022;Auvergne-Rhône-Alpes;1019.025;Zone GRTgaz
21/06/2024;Auvergne-Rhône-Alpes;1864.9182132;Zone GRTgaz
17/08/2021;Auvergne-Rhône-Alpes;517.899;Zone GRTgaz
11/02/2024;Auvergne-Rhône-Alpes;1668.8637935999998;Zone GRTgaz
03/01/2021;Auvergne-Rhône-Alpes;279.122;Zone GRTgaz
05/08/2024;Auvergne-Rhône-Alpes;1766.6694287999999;Zone GRTgaz
18/08/2022;Auvergne-Rhône-Alpes;975.718;Zone GRTgaz
17/07/2023;Auvergne-Rhône-Alpes;1270.203;Zone GRTgaz
11/07/2023;Auvergne-Rhône-Alpes;1275.424;Zone GRTgaz
03/05/2023;Auvergne-Rhône-Alpes;1310.719;Zone GRTgaz
18/07/2017;Auvergne-Rhône-Alpes;101.388;Zone GRTgaz
23/03/2022;Auvergne-Rhône-Alpes;939.593;Zone GRTgaz
23/02/2023;Auvergne-Rhône-Alpes;1291.944;Zone GRTgaz
13/07/2022;Auvergne-Rhône-Alpes;1080.198;Zone GRTgaz
07/07/2018;Auvergne-Rhône-Alpes;147.906;Zone GRTgaz
13/02/2022;Auvergne-Rhône-Alpes;796.105;Zone GRTgaz
24/06/2024;Auvergne-Rhône-Alpes;1833.2079804;Zone GRTgaz
02/05/2024;Auvergne-Rhône-Alpes;1750.5937404000001;Zone GRTgaz
11/06/2019;Auvergne-Rhône-Alpes;190.307;Zone GRTgaz
14/05/2023;Auvergne-Rhône-Alpes;1322.627;Zone GRTgaz
20/12/2023;Auvergne-Rhône-Alpes;1559.401;Zone GRTgaz
15/01/2022;Auvergne-Rhône-Alpes;747.31;Zone GRTgaz
13/11/2020;Auvergne-Rhône-Alpes;349.946;Zone GRTgaz
21/10/2024;Auvergne-Rhône-Alpes;1787.3370251999997;Zone GRTgaz
27/08/2021;Auvergne-Rhône-Alpes;573.772;Zone GRTgaz
03/08/2024;Auvergne-Rhône-Alpes;1699.2395658;Zone GRTgaz
18/04/2023;Auvergne-Rhône-Alpes;1328.23;Zone GRTgaz
26/09/2023;Auvergne-Rhône-Alpes;1376.578;Zone GRTgaz
23/05/2023;Auvergne-Rhône-Alpes;1393.587;Zone GRTgaz
12/05/2024;Auvergne-Rhône-Alpes;1687.8129335999997;Zone GRTgaz
07/04/2019;Auvergne-Rhône-Alpes;172.229;Zone GRTgaz
19/09/2019;Auvergne-Rhône-Alpes;193.991;Zone GRTgaz
29/10/2024;Auvergne-Rhône-Alpes;1922.3762166000001;Zone GRTgaz
30/07/2021;Auvergne-Rhône-Alpes;525.704;Zone GRTgaz
27/08/2023;Auvergne-Rhône-Alpes;1214.143;Zone GRTgaz
11/12/2019;Auvergne-Rhône-Alpes;246.279;Zone GRTgaz
30/01/2022;Auvergne-Rhône-Alpes;772.281;Zone GRTgaz
29/08/2022;Auvergne-Rhône-Alpes;1076.924;Zone GRTgaz
17/04/2024;Auvergne-Rhône-Alpes;1820.4498953999998;Zone GRTgaz
03/04/2018;Auvergne-Rhône-Alpes;111.482;Zone GRTgaz
28/09/2024;Auvergne-Rhône-Alpes;1781.339472;Zone GRTgaz
22/03/2023;Auvergne-Rhône-Alpes;1357.719;Zone GRTgaz
11/09/2020;Auvergne-Rhône-Alpes;338.646;Zone GRTgaz
31/07/2024;Auvergne-Rhône-Alpes;1729.4579297999999;Zone GRTgaz
10/04/2024;Auvergne-Rhône-Alpes;1804.4714592000003;Zone GRTgaz
21/12/2019;Auvergne-Rhône-Alpes;303.244;Zone GRTgaz
24/08/2018;Auvergne-Rhône-Alpes;106.668;Zone GRTgaz
30/07/2017;Auvergne-Rhône-Alpes;95.44;Zone GRTgaz
20/07/2017;Auvergne-Rhône-Alpes;104.498;Zone GRTgaz
11/06/2017;Auvergne-Rhône-Alpes;92.141;Zone GRTgaz
18/03/2018;Auvergne-Rhône-Alpes;104.677;Zone GRTgaz
10/10/2016;Auvergne-Rhône-Alpes;26.17299999999999;Zone GRTgaz
18/09/2018;Auvergne-Rhône-Alpes;127.469;Zone GRTgaz
13/06/2017;Auvergne-Rhône-Alpes;68.626;Zone GRTgaz
12/07/2018;Auvergne-Rhône-Alpes;116.46500000000002;Zone GRTgaz
06/01/2017;Auvergne-Rhône-Alpes;60.83599999999999;Zone GRTgaz
16/11/2016;Auvergne-Rhône-Alpes;14.435999999999995;Zone GRTgaz
30/11/2016;Auvergne-Rhône-Alpes;38.553;Zone GRTgaz
20/10/2016;Auvergne-Rhône-Alpes;33.928;Zone GRTgaz
28/01/2021;Auvergne-Rhône-Alpes;404.02;Zone GRTgaz
28/05/2023;Auvergne-Rhône-Alpes;1290.321;Zone GRTgaz
11/12/2021;Auvergne-Rhône-Alpes;752.138;Zone GRTgaz
14/09/2023;Auvergne-Rhône-Alpes;1404.356;Zone GRTgaz
11/10/2024;Auvergne-Rhône-Alpes;1812.5564255999998;Zone GRTgaz
21/09/2021;Auvergne-Rhône-Alpes;627.365;Zone GRTgaz
28/11/2022;Auvergne-Rhône-Alpes;1138.346;Zone GRTgaz
01/10/2018;Auvergne-Rhône-Alpes;116.812;Zone GRTgaz
04/06/2024;Auvergne-Rhône-Alpes;1813.3344432000001;Zone GRTgaz
24/05/2019;Auvergne-Rhône-Alpes;188.05;Zone GRTgaz
05/04/2023;Auvergne-Rhône-Alpes;1322.894;Zone GRTgaz
11/12/2024;Auvergne-Rhône-Alpes;1959.4353204;Zone GRTgaz
06/12/2021;Auvergne-Rhône-Alpes;712.539;Zone GRTgaz
08/03/2023;Auvergne-Rhône-Alpes;1297.763;Zone GRTgaz
11/03/2023;Auvergne-Rhône-Alpes;1319.243;Zone GRTgaz
10/08/2024;Auvergne-Rhône-Alpes;1563.2007821999998;Zone GRTgaz
02/09/2016;Auvergne-Rhône-Alpes;10.391000000000004;Zone GRTgaz
16/12/2016;Auvergne-Rhône-Alpes;65.47999999999999;Zone GRTgaz
27/01/2024;Auvergne-Rhône-Alpes;1645.7227830000002;Zone GRTgaz
17/03/2022;Auvergne-Rhône-Alpes;976.033;Zone GRTgaz
28/05/2024;Auvergne-Rhône-Alpes;1796.0486166;Zone GRTgaz
18/09/2021;Auvergne-Rhône-Alpes;611.745;Zone GRTgaz
18/03/2017;Auvergne-Rhône-Alpes;73.032;Zone GRTgaz
14/02/2019;Auvergne-Rhône-Alpes;145.73399999999998;Zone GRTgaz
29/01/2020;Auvergne-Rhône-Alpes;284.193;Zone GRTgaz
17/08/2019;Auvergne-Rhône-Alpes;160.524;Zone GRTgaz
18/07/2023;Auvergne-Rhône-Alpes;1300.006;Zone GRTgaz
07/12/2021;Auvergne-Rhône-Alpes;795.892;Zone GRTgaz
27/07/2018;Auvergne-Rhône-Alpes;95.227;Zone GRTgaz
16/06/2020;Auvergne-Rhône-Alpes;233.109;Zone GRTgaz
25/09/2024;Auvergne-Rhône-Alpes;1861.4391911999999;Zone GRTgaz
18/03/2024;Auvergne-Rhône-Alpes;1761.743655;Zone GRTgaz
28/10/2023;Auvergne-Rhône-Alpes;1418.383;Zone GRTgaz
22/02/2024;Auvergne-Rhône-Alpes;1699.8551622;Zone GRTgaz
13/10/2024;Auvergne-Rhône-Alpes;1704.8140218000003;Zone GRTgaz
31/12/2022;Auvergne-Rhône-Alpes;1287.253;Zone GRTgaz
18/11/2020;Auvergne-Rhône-Alpes;295.641;Zone GRTgaz
08/04/2024;Auvergne-Rhône-Alpes;1729.6394003999999;Zone GRTgaz
17/11/2021;Auvergne-Rhône-Alpes;724.563;Zone GRTgaz
23/01/2020;Auvergne-Rhône-Alpes;264.848;Zone GRTgaz
16/03/2022;Auvergne-Rhône-Alpes;956.074;Zone GRTgaz
10/02/2024;Auvergne-Rhône-Alpes;1650.9974616000002;Zone GRTgaz
08/07/2020;Auvergne-Rhône-Alpes;255.025;Zone GRTgaz
24/07/2024;Auvergne-Rhône-Alpes;1799.6319089999997;Zone GRTgaz
18/02/2021;Auvergne-Rhône-Alpes;362.922;Zone GRTgaz
31/05/2023;Auvergne-Rhône-Alpes;1284.552;Zone GRTgaz
22/07/2023;Auvergne-Rhône-Alpes;1216.022;Zone GRTgaz
23/11/2016;Auvergne-Rhône-Alpes;45.754;Zone GRTgaz
07/11/2016;Auvergne-Rhône-Alpes;33.68099999999999;Zone GRTgaz
13/01/2017;Auvergne-Rhône-Alpes;102.00499999999997;Zone GRTgaz
23/12/2016;Auvergne-Rhône-Alpes;63.25699999999999;Zone GRTgaz
01/12/2016;Auvergne-Rhône-Alpes;39.164;Zone GRTgaz
25/11/2022;Auvergne-Rhône-Alpes;1143.182;Zone GRTgaz
26/06/2022;Auvergne-Rhône-Alpes;869.623;Zone GRTgaz
13/11/2022;Auvergne-Rhône-Alpes;1078.26;Zone GRTgaz
12/08/2024;Auvergne-Rhône-Alpes;1684.0571940000002;Zone GRTgaz
24/11/2021;Auvergne-Rhône-Alpes;703.251;Zone GRTgaz
21/05/2022;Auvergne-Rhône-Alpes;916.728;Zone GRTgaz
18/01/2023;Auvergne-Rhône-Alpes;1301.99;Zone GRTgaz
02/08/2019;Auvergne-Rhône-Alpes;186.278;Zone GRTgaz
11/09/2024;Auvergne-Rhône-Alpes;1791.4266305999997;Zone GRTgaz
23/08/2024;Auvergne-Rhône-Alpes;1733.625738;Zone GRTgaz
29/01/2024;Auvergne-Rhône-Alpes;1584.0889506000003;Zone GRTgaz
26/09/2018;Auvergne-Rhône-Alpes;132.412;Zone GRTgaz
08/06/2023;Auvergne-Rhône-Alpes;1391.919;Zone GRTgaz
13/11/2017;Auvergne-Rhône-Alpes;116.10999999999999;Zone GRTgaz
20/04/2019;Auvergne-Rhône-Alpes;186.691;Zone GRTgaz
06/10/2018;Auvergne-Rhône-Alpes;136.493;Zone GRTgaz
09/07/2017;Auvergne-Rhône-Alpes;76.528;Zone GRTgaz
07/01/2018;Auvergne-Rhône-Alpes;71.982;Zone GRTgaz
02/05/2019;Auvergne-Rhône-Alpes;175.235;Zone GRTgaz
11/05/2018;Auvergne-Rhône-Alpes;146.063;Zone GRTgaz
13/05/2018;Auvergne-Rhône-Alpes;112.969;Zone GRTgaz
18/11/2019;Auvergne-Rhône-Alpes;196.318;Zone GRTgaz
03/02/2019;Auvergne-Rhône-Alpes;119.56099999999996;Zone GRTgaz
19/05/2018;Auvergne-Rhône-Alpes;151.007;Zone GRTgaz
19/11/2017;Auvergne-Rhône-Alpes;117.617;Zone GRTgaz
27/10/2021;Auvergne-Rhône-Alpes;635.698;Zone GRTgaz
23/09/2020;Auvergne-Rhône-Alpes;326.919;Zone GRTgaz
16/10/2023;Auvergne-Rhône-Alpes;1483.872;Zone GRTgaz
17/10/2016;Auvergne-Rhône-Alpes;19.443;Zone GRTgaz
21/11/2023;Auvergne-Rhône-Alpes;1628.534;Zone GRTgaz
01/02/2019;Auvergne-Rhône-Alpes;179.09299999999993;Zone GRTgaz
01/11/2018;Auvergne-Rhône-Alpes;111.902;Zone GRTgaz
28/09/2017;Auvergne-Rhône-Alpes;122.804;Zone GRTgaz
09/09/2021;Auvergne-Rhône-Alpes;525.633;Zone GRTgaz
02/07/2019;Auvergne-Rhône-Alpes;179.647;Zone GRTgaz
21/11/2016;Auvergne-Rhône-Alpes;41.806999999999995;Zone GRTgaz
14/10/2019;Auvergne-Rhône-Alpes;180.523;Zone GRTgaz
18/08/2018;Auvergne-Rhône-Alpes;87.941;Zone GRTgaz
24/12/2019;Auvergne-Rhône-Alpes;246.459;Zone GRTgaz
04/09/2018;Auvergne-Rhône-Alpes;113.42;Zone GRTgaz
01/11/2019;Auvergne-Rhône-Alpes;220.503;Zone GRTgaz
19/12/2022;Auvergne-Rhône-Alpes;1239.32;Zone GRTgaz
08/11/2022;Auvergne-Rhône-Alpes;1163.366;Zone GRTgaz
05/02/2023;Auvergne-Rhône-Alpes;1353.226;Zone GRTgaz
28/04/2019;Auvergne-Rhône-Alpes;160.283;Zone GRTgaz
20/03/2020;Auvergne-Rhône-Alpes;306.936;Zone GRTgaz
09/02/2020;Auvergne-Rhône-Alpes;222.145;Zone GRTgaz
31/05/2017;Auvergne-Rhône-Alpes;122.965;Zone GRTgaz
17/11/2019;Auvergne-Rhône-Alpes;194.644;Zone GRTgaz
31/03/2017;Auvergne-Rhône-Alpes;133.473;Zone GRTgaz
03/12/2017;Auvergne-Rhône-Alpes;83.666;Zone GRTgaz
28/12/2021;Auvergne-Rhône-Alpes;854.309;Zone GRTgaz
01/12/2024;Auvergne-Rhône-Alpes;1777.2779394;Zone GRTgaz
21/08/2019;Auvergne-Rhône-Alpes;175.32799999999997;Zone GRTgaz
21/11/2017;Auvergne-Rhône-Alpes;118.18;Zone GRTgaz
26/08/2023;Auvergne-Rhône-Alpes;1219.127;Zone GRTgaz
09/08/2024;Auvergne-Rhône-Alpes;1743.9725700000001;Zone GRTgaz
07/02/2019;Auvergne-Rhône-Alpes;136.044;Zone GRTgaz
15/12/2021;Auvergne-Rhône-Alpes;794.163;Zone GRTgaz
02/02/2022;Auvergne-Rhône-Alpes;776.034;Zone GRTgaz
21/10/2018;Auvergne-Rhône-Alpes;127.253;Zone GRTgaz
26/01/2019;Auvergne-Rhône-Alpes;161.59599999999998;Zone GRTgaz
25/03/2020;Auvergne-Rhône-Alpes;266.247;Zone GRTgaz
25/01/2024;Auvergne-Rhône-Alpes;1728.4934285999998;Zone GRTgaz
01/03/2022;Auvergne-Rhône-Alpes;885.646;Zone GRTgaz
22/10/2023;Auvergne-Rhône-Alpes;1309.484;Zone GRTgaz
05/02/2020;Auvergne-Rhône-Alpes;232.407;Zone GRTgaz
01/06/2023;Auvergne-Rhône-Alpes;1368.603;Zone GRTgaz
20/04/2021;Auvergne-Rhône-Alpes;446.581;Zone GRTgaz
28/08/2024;Auvergne-Rhône-Alpes;1675.5280757999997;Zone GRTgaz
09/01/2024;Auvergne-Rhône-Alpes;1544.1370925999997;Zone GRTgaz
06/03/2020;Auvergne-Rhône-Alpes;301.371;Zone GRTgaz
30/11/2023;Auvergne-Rhône-Alpes;1521.805;Zone GRTgaz
10/05/2022;Auvergne-Rhône-Alpes;1048.889;Zone GRTgaz
28/05/2021;Auvergne-Rhône-Alpes;449.942;Zone GRTgaz
07/08/2017;Auvergne-Rhône-Alpes;97.57399999999997;Zone GRTgaz
27/09/2022;Auvergne-Rhône-Alpes;1024.011;Zone GRTgaz
14/04/2024;Auvergne-Rhône-Alpes;1692.8108945999998;Zone GRTgaz
02/08/2020;Auvergne-Rhône-Alpes;268.693;Zone GRTgaz
11/03/2024;Auvergne-Rhône-Alpes;1605.9536514;Zone GRTgaz
29/06/2021;Auvergne-Rhône-Alpes;467.624;Zone GRTgaz
08/10/2016;Auvergne-Rhône-Alpes;20.819;Zone GRTgaz
04/09/2022;Auvergne-Rhône-Alpes;1018.833;Zone GRTgaz
04/07/2024;Auvergne-Rhône-Alpes;1876.9504158;Zone GRTgaz
11/11/2017;Auvergne-Rhône-Alpes;115.344;Zone GRTgaz
19/07/2022;Auvergne-Rhône-Alpes;964.755;Zone GRTgaz
27/03/2019;Auvergne-Rhône-Alpes;187.967;Zone GRTgaz
14/09/2021;Auvergne-Rhône-Alpes;599.495;Zone GRTgaz
31/10/2017;Auvergne-Rhône-Alpes;120.202;Zone GRTgaz
18/02/2024;Auvergne-Rhône-Alpes;1659.6198215999996;Zone GRTgaz
02/09/2023;Auvergne-Rhône-Alpes;2.671929;Zone Teréga
11/09/2023;Auvergne-Rhône-Alpes;2.9847402;Zone Teréga
16/09/2023;Auvergne-Rhône-Alpes;4.7453058;Zone Teréga
29/09/2023;Auvergne-Rhône-Alpes;5.1242886;Zone Teréga
26/10/2023;Auvergne-Rhône-Alpes;5.0992236;Zone Teréga
14/11/2023;Auvergne-Rhône-Alpes;2.5034922;Zone Teréga
17/12/2023;Auvergne-Rhône-Alpes;1.5159312;Zone Teréga
05/01/2024;Auvergne-Rhône-Alpes;4.531752;Zone Teréga
18/01/2024;Auvergne-Rhône-Alpes;6.592095;Zone Teréga
26/01/2024;Auvergne-Rhône-Alpes;5.3258112;Zone Teréga
27/01/2024;Auvergne-Rhône-Alpes;5.083182;Zone Teréga
07/02/2024;Auvergne-Rhône-Alpes;8.2072836;Zone Teréga
12/06/2024;Auvergne-Rhône-Alpes;5.8040514;Zone Teréga
16/06/2024;Auvergne-Rhône-Alpes;5.8862646;Zone Teréga
10/07/2024;Auvergne-Rhône-Alpes;6.772563;Zone Teréga
